order_id,rider_id,status,score,delivery_time,cost,emissions,reason
ORD-1003,R-2017,assigned,0,28.1,8.72,0.47,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1007,R-2017,assigned,0,18.9,5.67,0.23,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1010,R-2017,assigned,0,33.7,18.59,1.27,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1011,R-2013,assigned,0,22.1,10.18,0.71,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1018,R-2017,assigned,0,44.0,18.82,1.28,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1019,R-2017,assigned,0,27.4,10.37,0.61,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1020,R-2017,assigned,0,42.7,22.97,1.62,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1021,R-2013,assigned,0,34.1,17.38,1.4,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1024,R-2017,assigned,0,41.4,18.37,1.25,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1025,R-2013,assigned,0,47.0,36.37,3.22,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1029,R-2017,assigned,0,48.6,18.57,1.26,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1034,R-2017,assigned,0,21.9,13.63,0.87,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1037,R-2017,assigned,0,36.3,13.2,0.83,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1038,R-2013,assigned,0,19.9,11.1,0.8,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1039,R-2017,assigned,0,11.3,5.2,0.19,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1040,R-2017,assigned,0,51.1,22.56,1.58,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1041,R-2013,assigned,0,37.3,36.8,3.26,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1046,R-2013,assigned,0,21.0,19.59,1.61,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1048,R-2017,assigned,0,45.9,20.18,1.39,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1051,R-2017,assigned,0,33.8,20.14,1.39,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1052,R-2017,assigned,0,47.9,24.6,1.75,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1059,R-2017,assigned,0,19.1,11.62,0.71,"Eligible capacity, route compatibility, deadline protection, and objective fit."
