order_id,rider_id,status,score,delivery_time,cost,emissions,reason
ORD-1003,R-2017,assigned,0.61,28.1,8.72,0.47,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1007,R-2020,assigned,0.68,19.3,5.67,0.23,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1010,R-2017,assigned,0.48,33.7,18.59,1.27,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1011,R-2005,assigned,0.71,24.5,6.24,0.21,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1018,R-2020,assigned,0.41,45.9,18.82,1.28,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1019,R-2017,assigned,0.57,27.4,10.37,0.61,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1020,R-2017,assigned,0.36,42.7,22.97,1.62,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1021,R-2008,assigned,0.53,40.0,17.38,1.4,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1024,R-2018,assigned,0.52,42.6,14.17,0.69,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1025,R-2020,assigned,0.31,51.0,24.25,1.72,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1029,R-2017,assigned,0.35,48.6,18.57,1.26,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1034,R-2005,assigned,0.65,26.5,10.71,0.48,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1037,R-2020,assigned,0.47,37.5,13.2,0.83,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1038,R-2002,assigned,0.67,23.6,11.1,0.8,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1039,R-2020,assigned,0.66,11.6,5.2,0.19,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1040,R-2017,assigned,0.28,51.1,22.56,1.58,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1041,R-2018,assigned,0.48,40.5,18.67,0.97,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1046,R-2004,assigned,0.58,25.1,19.59,1.61,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1048,R-2007,assigned,0.46,47.9,15.49,0.77,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1051,R-2020,assigned,0.39,35.9,20.14,1.39,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1052,R-2017,assigned,0.27,47.9,24.6,1.75,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1059,R-2014,assigned,0.68,26.2,9.24,0.39,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1061,R-2017,assigned,0.45,33.0,11.51,0.7,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1062,R-2008,assigned,0.63,26.0,13.31,1.01,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1063,R-2001,assigned,0.55,24.9,19.34,1.59,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1065,R-2002,assigned,0.63,26.7,11.15,0.8,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1070,R-2004,assigned,0.5,36.2,18.77,1.53,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1073,R-2008,assigned,0.47,40.5,20.21,1.67,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1076,R-2001,assigned,0.4,36.9,26.04,2.23,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1079,R-2014,assigned,0.77,14.4,4.63,0.11,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1082,R-2017,assigned,0.26,50.8,22.32,1.56,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1085,R-2003,assigned,0.61,25.4,13.22,1.0,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1086,R-2020,assigned,0.55,21.0,8.85,0.48,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1090,R-2006,assigned,0.58,31.5,12.83,0.61,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1091,R-2010,assigned,0.71,17.7,8.09,0.51,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1092,R-2005,assigned,0.55,40.0,12.14,0.57,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1094,R-2004,assigned,0.46,39.9,19.49,1.6,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1096,R-2017,assigned,0.24,52.0,23.21,1.64,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1099,R-2014,assigned,0.67,28.6,5.01,0.13,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1001,R-2017,assigned,0.38,36.8,17.92,1.21,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1002,R-2018,assigned,0.56,30.1,14.44,0.71,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1004,R-2013,assigned,0.45,36.3,19.95,1.65,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1005,R-2002,assigned,0.58,28.5,14.1,1.09,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1006,R-2008,assigned,0.69,18.3,7.91,0.49,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1008,R-2010,assigned,0.69,19.9,6.17,0.32,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1009,R-2017,assigned,0.49,27.9,10.02,0.58,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1012,R-2007,assigned,0.4,53.2,17.09,0.87,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1013,R-2003,assigned,0.64,26.8,6.87,0.39,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1014,R-2017,assigned,0.3,42.1,23.28,1.64,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1015,R-2017,assigned,0.34,40.0,20.27,1.4,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1016,R-2001,assigned,0.44,34.3,22.02,1.85,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1017,R-2006,assigned,0.52,38.1,13.16,0.63,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1022,R-2017,assigned,0.63,12.2,4.38,0.13,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1023,R-2018,assigned,0.43,45.5,17.65,0.91,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1026,R-2004,assigned,0.52,27.0,19.58,1.61,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1027,R-2005,assigned,0.75,11.9,3.98,0.07,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1028,R-2002,assigned,0.56,31.3,12.43,0.92,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1030,R-2007,assigned,0.42,49.3,16.16,0.81,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1031,R-2017,assigned,0.48,26.3,13.21,0.83,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1032,R-2017,assigned,0.47,28.7,12.75,0.8,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1033,R-2017,assigned,0.4,36.7,15.67,1.03,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1035,R-2006,assigned,0.39,49.9,18.42,0.95,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1036,R-2018,assigned,0.35,56.2,18.05,0.93,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1042,R-2017,assigned,0.37,38.3,18.31,1.24,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1043,R-2017,assigned,0.47,31.6,9.76,0.56,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1044,R-2008,assigned,0.71,15.6,4.92,0.2,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1045,R-2017,assigned,0.54,23.6,6.85,0.32,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1047,R-2017,assigned,0.28,44.5,24.3,1.72,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1049,R-2017,assigned,0.39,33.2,18.97,1.3,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1050,R-2007,assigned,0.4,48.7,16.88,0.86,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1053,R-2011,assigned,0.55,38.4,10.5,0.47,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1054,R-2017,assigned,0.39,34.6,18.52,1.26,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1055,R-2017,assigned,0.26,49.5,22.84,1.61,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1056,R-2017,assigned,0.36,35.6,21.48,1.5,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1057,R-2006,assigned,0.39,48.1,17.56,0.9,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1058,R-2014,assigned,0.67,22.1,7.2,0.27,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1060,R-2005,assigned,0.42,48.5,17.63,0.9,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1064,R-2011,assigned,0.51,39.6,11.74,0.54,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1066,R-2005,assigned,0.46,45.6,12.38,0.58,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1067,R-2014,assigned,0.57,32.5,10.69,0.48,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1068,R-2017,assigned,0.42,33.0,15.21,0.99,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1069,R-2018,assigned,0.43,41.2,16.51,0.84,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1071,R-2017,assigned,0.41,38.6,12.68,0.79,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1072,R-2017,assigned,0.55,20.9,7.79,0.4,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1074,R-2017,assigned,0.36,41.0,17.34,1.16,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1075,R-2017,assigned,0.34,40.9,20.2,1.39,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1077,R-2011,assigned,0.54,35.4,9.0,0.38,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1078,R-2017,assigned,0.3,48.8,19.38,1.33,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1080,R-2007,assigned,0.51,33.2,11.25,0.52,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1081,R-2017,assigned,0.5,29.2,8.75,0.48,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1083,R-2014,assigned,0.69,16.5,4.98,0.13,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1084,R-2013,assigned,0.48,32.3,17.56,1.42,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1087,R-2017,assigned,0.47,34.6,8.31,0.44,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1088,R-2017,assigned,0.4,35.5,16.28,1.08,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1089,R-2017,assigned,0.35,36.9,20.95,1.45,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1093,R-2006,assigned,0.36,52.4,17.2,0.88,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1095,R-2003,assigned,0.5,28.9,19.5,1.6,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1097,R-2010,assigned,0.67,21.0,5.59,0.27,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1098,R-2017,assigned,0.55,17.0,10.06,0.58,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1100,R-2005,assigned,0.5,38.7,10.8,0.49,"Eligible capacity, route compatibility, deadline protection, and objective fit."
